timestamp_ms,t_s,z_m,wake_label
1634660420214,0.0,-0.005,0
1634660420414,0.2,-0.004,0
1634660420614,0.4,-0.003,0
1634660420814,0.6,-0.002,0
1634660421014,0.8,-0.002,0
1634660421214,1.0,-0.002,0
1634660421414,1.2,-0.003,0
1634660421614,1.4,-0.003,0
1634660421814,1.6,-0.002,0
1634660422014,1.8,0.0,0
1634660422214,2.0,0.003,0
1634660422414,2.2,0.006,0
1634660422614,2.4,0.007,0
1634660422814,2.6,0.006,0
1634660423014,2.8,0.003,0
1634660423214,3.0,0.0,0
1634660423414,3.2,-0.001,0
1634660423614,3.4,0.0,0
1634660423814,3.6,0.003,0
1634660424014,3.8,0.005,0
1634660424214,4.0,0.005,0
1634660424414,4.2,0.003,0
1634660424614,4.4,0.001,0
1634660424814,4.6,-0.001,0
1634660425014,4.8,-0.004,0
1634660425214,5.0,-0.005,0
1634660425414,5.2,-0.006,0
1634660425614,5.4,-0.006,0
1634660425814,5.6,-0.003,0
1634660426014,5.8,-0.001,0
1634660426214,6.0,0.001,0
1634660426414,6.2,0.002,0
1634660426614,6.4,0.0,0
1634660426814,6.6,-0.0,0
1634660427014,6.8,0.0,0
1634660427214,7.0,0.002,0
1634660427414,7.2,0.005,0
1634660427614,7.4,0.006,0
1634660427814,7.6,0.006,0
1634660428014,7.8,0.005,0
1634660428214,8.0,0.003,0
1634660428414,8.2,0.002,0
1634660428614,8.4,0.002,0
1634660428814,8.6,0.001,0
1634660429014,8.8,-0.001,0
1634660429214,9.0,-0.004,0
1634660429414,9.2,-0.008,0
1634660429614,9.4,-0.011,0
1634660429814,9.6,-0.012,0
1634660430014,9.8,-0.011,0
1634660430214,10.0,-0.009,0
1634660430414,10.2,-0.006,0
1634660430614,10.4,-0.003,0
1634660430814,10.6,0.0,0
1634660431014,10.8,0.002,0
1634660431214,11.0,0.003,0
1634660431414,11.2,0.005,0
1634660431614,11.4,0.006,0
1634660431814,11.6,0.008,0
1634660432014,11.8,0.01,0
1634660432214,12.0,0.01,0
1634660432414,12.2,0.007,0
1634660432614,12.4,0.004,0
1634660432814,12.6,0.001,0
1634660433014,12.8,-0.0,0
