timestamp_ms,t_s,z_m,wake_label
1634583020218,0.0,-0.007,0
1634583020418,0.2,-0.013,0
1634583020618,0.4,-0.018,0
1634583020818,0.6,-0.021,0
1634583021018,0.8,-0.023,0
1634583021218,1.0,-0.021,0
1634583021418,1.2,-0.015,0
1634583021618,1.4,-0.005,0
1634583021818,1.6,0.006,0
1634583022018,1.8,0.013,0
1634583022218,2.0,0.016,0
1634583022418,2.2,0.016,0
1634583022618,2.4,0.016,0
1634583022818,2.6,0.017,0
1634583023018,2.8,0.016,0
1634583023218,3.0,0.011,0
1634583023418,3.2,0.003,0
1634583023618,3.4,-0.004,0
1634583023818,3.6,-0.008,0
1634583024018,3.8,-0.008,0
1634583024218,4.0,-0.006,0
1634583024418,4.2,-0.002,0
1634583024618,4.4,0.002,0
1634583024818,4.6,0.006,0
1634583025018,4.8,0.007,0
1634583025218,5.0,0.008,0
1634583025418,5.2,0.007,0
1634583025618,5.4,0.007,0
1634583025818,5.6,0.004,0
1634583026018,5.8,-0.002,0
1634583026218,6.0,-0.011,0
1634583026418,6.2,-0.019,0
1634583026618,6.4,-0.02,0
1634583026818,6.6,-0.014,0
1634583027018,6.8,-0.004,0
1634583027218,7.0,0.002,0
1634583027418,7.2,0.004,0
1634583027618,7.4,0.001,0
1634583027818,7.6,-0.004,0
1634583028018,7.8,-0.013,0
1634583028218,8.0,-0.024,0
1634583028418,8.2,-0.033,0
1634583028618,8.4,-0.035,0
1634583028818,8.6,-0.028,0
1634583029018,8.8,-0.013,0
1634583029218,9.0,0.002,0
1634583029418,9.2,0.013,0
1634583029618,9.4,0.021,0
1634583029818,9.6,0.025,0
1634583030018,9.8,0.028,0
1634583030218,10.0,0.026,0
1634583030418,10.2,0.022,0
1634583030618,10.4,0.016,0
1634583030818,10.6,0.013,0
1634583031018,10.8,0.012,0
1634583031218,11.0,0.01,0
1634583031418,11.2,0.004,0
1634583031618,11.4,-0.003,0
1634583031818,11.6,-0.008,0
1634583032018,11.8,-0.01,0
1634583032218,12.0,-0.009,0
1634583032418,12.2,-0.01,0
1634583032618,12.4,-0.014,0
1634583032818,12.6,-0.02,0
1634583033018,12.8,-0.028,0
1634583033218,13.0,-0.035,0
1634583033418,13.2,-0.04,0
1634583033618,13.4,-0.039,0
1634583033818,13.6,-0.028,0
1634583034018,13.8,-0.011,0
1634583034218,14.0,0.005,0
1634583034418,14.2,0.016,0
1634583034618,14.4,0.02,0
1634583034818,14.6,0.021,0
1634583035018,14.8,0.023,0
1634583035218,15.0,0.025,0
1634583035418,15.2,0.027,0
1634583035618,15.4,0.027,0
1634583035818,15.6,0.027,0
1634583036018,15.8,0.028,0
1634583036218,16.0,0.027,0
1634583036418,16.2,0.021,0
1634583036618,16.4,0.007,0
1634583036818,16.6,-0.009,0
1634583037018,16.8,-0.02,0
1634583037218,17.0,-0.021,0
1634583037418,17.2,-0.012,0
1634583037618,17.4,0.002,0
1634583037818,17.6,0.014,0
1634583038018,17.8,0.024,0
1634583038218,18.0,0.027,0
1634583038418,18.2,0.025,0
1634583038618,18.4,0.016,0
1634583038818,18.6,0.002,0
1634583039018,18.8,-0.013,0
1634583039218,19.0,-0.023,0
1634583039418,19.2,-0.025,0
1634583039618,19.4,-0.018,0
1634583039818,19.6,-0.007,0
1634583040018,19.8,0.007,0
1634583040218,20.0,0.019,0
1634583040418,20.2,0.026,0
1634583040618,20.4,0.027,0
1634583040818,20.6,0.021,0
1634583041018,20.8,0.008,0
1634583041218,21.0,-0.009,0
1634583041418,21.2,-0.025,0
1634583041618,21.4,-0.034,0
1634583041818,21.6,-0.033,0
1634583042018,21.8,-0.025,0
1634583042218,22.0,-0.012,0
1634583042418,22.2,-0.002,0
1634583042618,22.4,0.004,0
1634583042818,22.6,0.007,0
1634583043018,22.8,0.008,0
1634583043218,23.0,0.009,0
1634583043418,23.2,0.009,0
1634583043618,23.4,0.006,0
1634583043818,23.6,-0.002,0
1634583044018,23.8,-0.014,0
1634583044218,24.0,-0.026,0
1634583044418,24.2,-0.033,0
1634583044618,24.4,-0.032,0
1634583044818,24.6,-0.023,0
1634583045018,24.8,-0.01,0
1634583045218,25.0,0.002,0
1634583045418,25.2,0.01,0
1634583045618,25.4,0.011,0
1634583045818,25.6,0.007,0
1634583046018,25.8,0.002,0
1634583046218,26.0,-0.005,0
1634583046418,26.2,-0.009,0
1634583046618,26.4,-0.009,0
1634583046818,26.6,-0.002,0
1634583047018,26.8,0.008,0
1634583047218,27.0,0.02,0
1634583047418,27.2,0.028,0
1634583047618,27.4,0.03,0
1634583047818,27.6,0.026,0
1634583048018,27.8,0.017,0
1634583048218,28.0,0.006,0
1634583048418,28.2,-0.005,0
1634583048618,28.4,-0.014,0
1634583048818,28.6,-0.017,0
1634583049018,28.8,-0.015,0
1634583049218,29.0,-0.009,0
1634583049418,29.2,-0.005,0
1634583049618,29.4,-0.006,0
1634583049818,29.6,-0.01,0
1634583050018,29.8,-0.015,0
1634583050218,30.0,-0.018,0
1634583050418,30.2,-0.019,0
1634583050618,30.4,-0.02,0
1634583050818,30.6,-0.022,0
1634583051018,30.8,-0.026,0
1634583051218,31.0,-0.028,0
1634583051418,31.2,-0.023,0
1634583051618,31.4,-0.011,0
1634583051818,31.6,0.006,0
1634583052018,31.8,0.024,0
1634583052218,32.0,0.038,0
1634583052418,32.2,0.045,0
1634583052618,32.4,0.042,0
1634583052818,32.6,0.033,0
1634583053018,32.8,0.022,0
1634583053218,33.0,0.013,0
1634583053418,33.2,0.011,0
1634583053618,33.4,0.018,0
1634583053818,33.6,0.029,0
1634583054018,33.8,0.038,0
1634583054218,34.0,0.039,0
1634583054418,34.2,0.031,0
1634583054618,34.4,0.016,0
1634583054818,34.6,0.002,0
1634583055018,34.8,-0.007,0
1634583055218,35.0,-0.011,0
1634583055418,35.2,-0.011,0
1634583055618,35.4,-0.01,0
